Cognitive Distortion,Generated Story,Generative Model,Claude Consistency,Claude Accuracy,Claude Fluency,Gpt Consistency,Gpt Accuracy,Gpt Fluency
성급한 판단,"[여자/16세]
---
민준이가 나랑 영화 보러 가자고 했어.  평소엔 잘 연락 안 하던데, 혹시 다른 애랑 보기로 했는데 취소돼서 나한테 급하게 연락한 건 아닐까?  나 좋아하는 척하는 건가?  아무 의미 없이 그냥 시간 때우려고 한 걸지도 몰라.
",GEMINI,2,3,3,3,3,3
흑백 사고,"[여자/15세]
---
점심시간, 혼자 도시락 먹었다.  소희랑 수현이가 웃으며 이야기하는 모습이 보였다.  나랑은 안 놀아.  다시는 말도 안 걸어야지.  아무도 나랑 안 놀아.  내일도 혼자겠지.  이젠 밥도 혼자 먹어야 해.  다 싫어.
",GEMINI,3,3,2,3,3,2
성급한 판단,"[여자/15]
---
인문고 합격 통지서를 받았지만, 기쁨도 잠시였다.  가수의 꿈은 이제 끝인가.  예고에 가지 않은 걸 후회하며,  실패할 가능성만 보였다.  노래 실력도 부족하고,  연습할 시간도 없을 테니까.  아마 꿈은 꿈으로 남을 거다.  다른 길을 찾아야겠지.
",GEMINI,2,3,2,3,3,3
낙인찍기,"[남자/17세]
---
수업 중 칠판을 보는데, 또 멍해졌다.  내 머릿속은 텅 비었고, 다른 애들은 다 이해하는 것 같은데 나만 모르겠다.  아, 역시 난 멍청이야.  다른 애들처럼 될 수 없어.  가족들도 나랑 똑같은 유전자를 가졌으니…
",GEMINI,2,3,2,3,3,3
'해야 한다' 진술,"[여자/15]
---
방과 후, 핸드폰을 봐야만 했어.  숙제는 해야 하고, 친구들과 약속도 지켜야 해.  하지만 핸드폰을 놓을 수 없었어.  모든 걸 제대로 해내야 한다는 압박감에 짓눌렸어.  결국, 아무것도 하지 못했어.  내일은 꼭 해야 해.
",GEMINI,2,3,3,3,3,3
확대와 축소,"[여자/16세]
---
점심시간, 혼자 도서관에 앉아 책을 읽었다.  ""쟤 또 혼자 공부하네.""  중얼거림이 들렸다.  내가 뭘 잘못한 걸까?  아무도 나랑 밥 안 먹으려고 하는 걸까?  모두 나를 싫어하는 건 아닐까?  이런 생각이 머릿속을 가득 채웠다.  결국, 혼자 도시락을 먹었다.
",GEMINI,2,3,3,2,3,3
성급한 판단,"[여자/16세]
---
선생님이 내 숙제를 안 봤어.  내가 뭘 잘못했나?  다른 애들은 다 칭찬 받던데….  아마 내 숙제가 엉망이라 무시한 거겠지.  쌤이 나 싫어하는 거야.  인스타 친구 신청한 건 그냥 가식이었나봐.  다들 나 싫어하는 거 같아.
",GEMINI,2,3,2,2,3,3
흑백 사고,"[여자/15]
---
아빠가 돌아가신 후, 학교도, 친구들도, 아무것도 의미가 없어졌어.  모두가 나를 떠나갈 거야.  내가 없으면 모두 행복할 거라고 생각해.  이젠 나 혼자 남겨지는 것만 남았어.  살아봤자 힘들어.  모든 게 망했어.
",GEMINI,2,3,2,3,3,3
'해야 한다' 진술,"[여자/18세]
---
고3인 내가 이번 주말에도 과외를 해야 한다니… 친구들은 놀러 간다는데, 나는 공부해야 해.  열심히 해야 대학에 갈 수 있고, 좋은 직업을 얻을 수 있고… 그래야 행복할 텐데.  하지만 지금은 너무 힘들고, 아무것도 하고 싶지 않아.  그냥 쉬고 싶다.
",GEMINI,3,3,3,3,3,3
흑백 사고,"[여자/17세]
---
시험 결과가 나왔다.  망쳤다.  전부 틀렸다고 생각하니 눈물이 났다.  열심히 했는데,  모든 노력이 무의미해 보였다.  다른 애들은 잘했을 거야.  나는 역시 쓸모없는 사람이다.  다시는 잘할 수 없을 것 같다.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/16세]
---
친구들이 내 옷차림 보고 수근거렸어.  분명 나 흉보는 거겠지.  예쁘게 입었다고 생각했는데,  다들 나를 이상하게 보는 것 같아.  내가 뭘 잘못한 걸까?  다시는 저런 옷 안 입어야겠어.
",GEMINI,2,3,3,2,3,3
과잉 일반화,"[여자/16]
---
또 싸웠다.  수학 숙제 때문에.  내가 먼저 물었는데,  소영이는 짜증을 내며 대답도 안 했다.  항상 그래.  친구는 하나도 없다.  다 나랑 안 맞아.  결국 나 혼자 남을 거야. 아무도 날 이해 못해.
",GEMINI,2,2,2,2,3,3
성급한 판단,"[남자/17]
---
새로운 조별 과제 파트너가 말이 없어.  분명 나 싫어하는 거겠지.  내가 뭘 잘못했을까, 계속 혼잣말을 하며 걱정했어.  발표 연습 때 실수할까봐, 팀원들에게 찍힐까봐 두려워.  결국 밤새 혼자 준비했어.
",GEMINI,3,3,3,3,3,3
낙인찍기,"[여자/16세]
---
점심시간, 혼자 도시락 먹는데 다들 웃으며 떠드는 게 들려.  나만 빼고 다 친한 것 같아.  내가 뭘 잘못했나, 괜히 혼잣말로 중얼거렸어.  아무도 나랑 말 안 걸어.  역시 나는 쓸모없는 존재야.  다시 혼자가 됐어.
",GEMINI,3,3,3,3,3,3
성급한 판단,"[여자/14]
---
수업 중, 민준이랑 눈이 계속 마주쳤어.  걔 친구들이 또 웃으면서 ""커플""이라고 속삭였지.  민준이는 아무 말도 없었고,  내가 뭘 잘못했나 싶어.  분명 아무 사이도 아닌데,  다들 그렇게 생각하니까,  내가 맘에 없는 썸을 타는 건가 싶어 불안해.  괜히 민준이가 나 좋아하는 것 같아.
",GEMINI,2,3,3,3,3,3
성급한 판단,"[남자/17]
---
걔는 나랑 가위바위보만 하고, 다른 애들이랑은 웃고 떠드는데. 아마 내가 맘에 안 들거야.  공부는 잘해도 얼굴이 문제인가.  결국 걔는 나 같은 애 안 좋아할 거 같아.  친구도 못 될 것 같고.
",GEMINI,2,2,2,2,3,3
확대와 축소,"[여자/17세]
---
시험 성적이 너무 낮았다.  친구 수진이가 내 성적표 사진을 찍었다는 소식에 울컥했다.  8년 친구지만, 입이 가벼운 건 여전했다.  수진이는 실수였다고 했지만,  내 꿈을 비웃는 듯한 눈빛이 잊히지 않는다.  모두가 나를  실패자로 볼 거라는 생각에 휩싸였다.  내 노력은 아무것도 아니었던 걸까.
",GEMINI,3,3,3,3,3,3
흑백 사고,"[여자/17세]
---
기말고사 영어 성적만 괜찮았지, 다른 과목은 다 망쳤다. 외고는 이제 꿈도 못 꿀 거야.  출판사, 번역가, 바텐더…  모두 다 내 실력으론 불가능해.  아무것도 잘하는 게 없으니, 앞으로 어떻게 살아가지?  미래가 암담해.
",GEMINI,2,3,2,3,3,3
감정적 추론,"[여자/15]
---
어제, 민지랑 수현이랑 영화 보러 갔는데, 민지가 수현이랑만 얘기하더라.  내가 끼어들려고 해도 둘만의 세계였어.  내가 뭘 잘못한 걸까?  나랑 있으면 재미없나?  결국 영화 끝나고 혼자 집에 왔어.  다시는 저 둘이랑 어울리고 싶지 않아.
",GEMINI,2,3,3,3,3,3
감정적 추론,"[여자/15세]
---
점심시간, 혼자 도시락 먹는데 걔네 웃는 소리가 들렸어.  내가 뭘 잘못했나 계속 생각했어.  아무도 나랑 안 놀고 싶어 하는 걸까?  내가 너무 예민한 건가 싶으면서도,  자꾸만 그 생각이 머릿속을 맴돌아.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/15]
---
시험지를 받아든 순간, 숨이 턱 막혔다.  틀린 문제 하나하나가 내 무능함을 증명하는 것 같았다.  다 망했어.  어차피 나는 아무것도 할 수 없어.  살아갈 가치가 없어.  모두 내 잘못이야.
",GEMINI,2,3,2,3,3,3
성급한 판단,"[여자/17세]
---
엄마가 외고를 강요하셔서 걱정이에요.  내 성적으론 충분하지만,  과연 내가 잘 해낼 수 있을까요?  만약 못하면 어쩌죠?  일반고는 절대 안 된다고 하시는데, 후회할까 봐 두려워요.  내 길을 스스로 찾지 못하면 어떻게 될까요?
",GEMINI,3,2,3,3,3,3
과잉 일반화,"[여자/15세]
---
지난번 발표에서 실수한 후, 모두 나를 싫어하는 것 같아.  친구들이 웃는 모습도 다 나를 비웃는 것처럼 느껴져.  다음 발표도 망칠 것 같아.  아무도 나랑 이야기 안 해줄 거야.  혼자 점심 먹는 게 일상이 될 것 같아.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[여자/15세]
---
수학 숙제 때문에 엄마한테 혼날까 봐 불안해.  다른 애들은 다 쉽게 풀던데, 나는 왜 이렇게 멍청하지?  아마 숙제 검사 때 혼자 틀렸을 거야.  다른 애들 시선이 느껴져.  결국 혼자 남겨질 거 같아.  차라리 학교 안 가는 게 나을까?
",GEMINI,2,2,2,2,2,3
과잉 일반화,"[남자/18세]
---
새 학교, 첫날.  아무도 나랑 말 안 걸어.  분명 나 싫어하는 거야.  저번 학교도 똑같았어.  친구는 없고, 모두 나를 멀리해.  결국, 또 혼자가 될 거야.  다 포기하고 싶어.  학교에 갈 수 없어.
",GEMINI,2,3,2,3,3,3
'해야 한다' 진술,"[남자/16세]
---
친구들이 주말에 영화 보러 가자는데, 숙제 때문에 못 간다고 했더니 삐쳤다.  내일 시험인데, 공부해야 해.  그래야 좋은 성적을 받을 수 있고,  그래야 좋은 대학에 갈 수 있고…  내가 너무 융통성 없이 행동한 걸까?  친구들과 즐거운 시간을 보내야 하는데, 숙제 때문에 계속 얽매이는 기분이다.  결국엔 혼자 남게 될 것 같아.
",GEMINI,2,2,3,2,3,3
감정적 추론,"[여자/15세]
---
또 나 빼고 셋이서 영화 보러 갔대.  어제 내가 같이 가자고 했는데,  다들 바쁘다고 했잖아.  분명 나 빼고 즐거운 시간 보냈겠지.  내가 먼저 말 안 했으면 아무도 나 안 불렀을 거야.  나만 빼고 다 친한가 봐.  속상해.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[여자/15]
---
시험 성적이 망쳤다.  군 특성화고는 이제 꿈도 못 꿀 거야.  내가 부족해서 그런 거겠지.  아무리 노력해도 소용없어.  결국엔 실패할 거야.  다른 친구들은 잘만 하는데… 나는 왜 이럴까.
",GEMINI,2,3,2,2,3,3
감정적 추론,"[여자/17]
---
동생이 수현이랑 붙어 다니면서 변했어.  수현이 옷을 탐내고, 걔만 따라다녀.  수현이네 집이 가난한 것 같아서, 동생이 물건을 빼앗기는 게 아닐까 걱정돼.  엄마는 수현이 엄마랑 친해졌고,  나한테는 화만 내.  내가 동생을 뺏긴 기분이야.  수현이 때문에 동생이 망가지는 것 같아.
",GEMINI,2,3,2,3,3,3
성급한 판단,"[여자/17]
---
고2 언니가 험악하게 쳐다보는 것 같아.  내가 실수라도 한 건가?  아무 말도 안 걸었는데.  분명 나 싫어하는 티 내는 거야.  친구 될 가능성 제로.  소문 나겠지.  망했어.
",GEMINI,2,3,3,3,3,3
성급한 판단,"[여자/17세]
---
어제 우연히 마주친 선배가 나를 못 본 척 지나쳤어.  분명 나를 싫어하는 거야.  평소에도 인사 안 하던데,  내가 뭘 잘못했나 싶고,  다른 친구들한테도 똑같이 하는 건지 계속 신경 쓰여.  괜히 맘 상해.
",GEMINI,2,3,3,2,3,3
부정적 편향,"[여자/15]
---
인스타에 내 사진 올렸는데 좋아요가 별로 없어.  내가 뭘 잘못했나?  못생겨서 그런가? 아무도 나랑 놀고 싶어하지 않을 것 같아.  친구들이 나 싫어하는 걸까?  학교에 가기 싫어.
",GEMINI,2,2,2,3,3,3
낙인찍기,"[남자/17세]
---
같은 반 애들이 내 그림 실력을 비웃었어.  내 그림은 쓰레기야.  다른 애들 그림은 다 멋진데, 난 늘 엉망이야.  역시 난 그림 못 그리는 놈이야.  아무것도 잘하는 게 없어.  차라리...  죽고 싶다.
",GEMINI,2,2,2,2,3,2
긍정 축소화,"[여자/17세]
---
칭찬을 들어도 기분이 좋지 않아.  새로 산 옷을 친구들이 예쁘다고 했지만,  거울 속 내 모습은 여전히 마음에 안 들어.  사진으로 보면 더 못생겨 보일 거야.  칭찬은 다 거짓말일지도 몰라.
",GEMINI,3,3,2,3,3,3
부정적 편향,"[여자/16세]
---
거울 속 내 모습이 싫다.  눈, 코, 입은 괜찮은데 턱이 너무 각져 보여.  친구들이랑 사진 찍을 때마다 내 턱만 신경 쓰여.  마스크를 벗는 순간 모두의 시선이 나에게 쏠릴 것 같아.  숨고 싶다.
",GEMINI,3,3,3,3,3,3
확대와 축소,"[여자/14]
---
수학 시험 점수가 망했어. 몇 문제 틀린 게 아닌데, 아예 다 틀린 것 같아.  내가 이렇게 공부 못하는 애인가 봐.  엄마한테 혼날 생각에 벌써부터 심장이 쿵쾅거려.  앞으로도 계속 이럴 거 같아.  내 인생은 끝장인가 봐.
",GEMINI,2,2,2,2,3,3
성급한 판단,"[여자/16세]
---
친구 수진이가 시험지를 흘리고 갔어.  내가 봤는데, 답이 다 틀렸어.  분명 수진이는 컨닝을 했을 거야.  그런데 왜 나한테는 컨닝했다고 말 안하지?  수진이는 나를 속인거야.  절대 친구로 남을 수 없어.
",GEMINI,2,2,3,2,2,3
감정적 추론,"[여자/15]
---
시험 성적표를 받았다.  모두 낙제점이다.  내가 아무리 노력해도 소용없다는 걸 증명하는 것 같다.  결국 난 아무것도 할 수 없는 존재야.  숨 쉬는 것조차 힘들다.  모두 내 탓이다.
",GEMINI,2,3,2,2,3,3
개인화,"[여자/16세]
---
점심시간, 혼자 도시락 먹는데,  소희랑 지수가 웃으며 이야기하더라.  내 이야기일까?  나랑 얘기하기 싫어서 저러는 걸까?  아무래도 내가 재미없어서 먼저 다가가지 않는 걸까.  나 빼고 둘이 붙어다니는 건 아닐까.  괜히 눈물이 핑 돌았다.
",GEMINI,3,3,2,3,3,3
'해야 한다' 진술,"[여자/15]
---
방에 혼자 앉아 중간고사 성적표를 봤다.  80점이 넘는 과목도 있었지만, 60점대 과목도 있었다.  '이대로는 안 돼.  꼭 좋은 대학에 가야 해.  가정을 벗어나야만 해.'  가슴이 쿵 내려앉았다.  내가 잘해야만 한다는 생각에 숨이 막혔다.  공부를 더 열심히 해야만 할 것 같다.
",GEMINI,3,3,3,3,3,3
흑백 사고,"[여자/15]
---
담임선생님 말씀은 다 거짓말 같아.  잘하면 된다는 말,  내게는 통하지 않아.  아무리 노력해도  결과는 늘 최악이야.  망가진 나를  다시 붙일 방법은 없어.  모든 게 끝났어.  희망도 없고, 미래도 없어.  그냥… 다 끝났어.
",GEMINI,2,3,2,3,3,3
감정적 추론,"[여자/17세]
---
남사친이랑 웃으며 얘기했는데, 남자친구가 아무렇지도 않아.  혹시 나 좋아하는 거 아니야?  내가 뭘 잘못했나?  내가 그렇게 매력 없나?  괜히 불안해.  남자친구가 나를 진짜 좋아하는 건지 의심스러워.  내가 너무 과민반응인가.
",GEMINI,3,3,2,3,3,3
개인화,"[여자/16세]
---
엄마가 새 옷을 사셨는데,  우리 집 형편이 이런데 왜 샀을까.  내가 필요한 건 없는데.  엄마는 나만 생각 안 하는 걸까.  내가 뭘 잘못했나.  엄마한테 말해야 하나, 말하면 또 혼날까봐 무서워.
",GEMINI,3,3,3,3,3,3
과잉 일반화,"[여자/17세]
---
발표 준비를 열심히 했는데, 발표 후 친구들의 반응이 시큰둥했다.  내 발표는 재미없었고, 모두 나를 비웃었을 거야.  다음 발표도 망칠 거 같고, 아무리 노력해도 칭찬받을 일은 없을 거야.  나는 늘 혼자일 거다.
",GEMINI,2,3,2,2,3,3
긍정 축소화,"[여자/17세]
---
친구들이 생일파티 한다는데, 나만 초대 안 받았어. 아마 내가 덜 재밌어서겠지.  솔직히 나도 파티 가고 싶지만,  애초에 나 같은 애가 갈 자리는 아닐 거야.  다들 웃고 떠드는 모습 상상하니 숨 막히네.  나만 빼고 재밌게 놀겠지.
",GEMINI,2,2,2,2,2,3
과잉 일반화,"[여자/15세]
---
중간고사를 망쳤어.  모든 시험이 다 엉망이야.  다음 시험도 분명 망칠 거고,  결국엔 아무 대학도 못 갈 거야.  친구들도 나랑 안 놀고,  혼자 남겨질 거 같아.  학교 가는 게 두려워.
",GEMINI,2,3,2,2,3,3
개인화,"[여자/16세]
---
점심시간, 걔들이 또 내 등을 쳤다.  내가 먼저 손절했는데, 왜 이러는 걸까?  다 내 잘못인가?  걔네 웃는 모습이 짜증나.  내가 뭘 잘못했기에 나만 이렇게 괴롭힘을 당하는 걸까.  아무도 날 이해 못해.  결국 내 잘못이야.
",GEMINI,3,3,2,3,3,3
부정적 편향,"[남자/14]
---
난 뭘 해도 잘하는 게 없어.  수학 시험도 망쳤고, 축구부에서도 벤치 멤버야.  키도 작고, 얼굴도 평범하고….  웃긴다고?  그게 뭐 대수라고.  결국 아무것도 아닌 나잖아.  내 미래는 어둡기만 해.
",GEMINI,2,3,2,3,3,3
확대와 축소,"[여자/16세]
---
수학 시험 점수가 망했다. 80점이지만, 난 100점을 맞아야 했는데.  다른 애들은 다 잘 봤을 거야.  내가 틀린 문제 하나하나가 다 엄청난 실수처럼 느껴져.  결국 난 낙제생일 거야.  다시는 잘할 수 없을 것 같아.
",GEMINI,2,2,2,1,3,3
성급한 판단,"[여자/17세]
---
새로 산 옷을 입고 학교에 갔는데, 아무도 칭찬해주지 않았어.  내 옷이 별로였나?  다들 나를 무시하는 걸까?  아무도 나랑 말도 안 걸고, 혼자 점심 먹는 내 모습이 너무 초라하게 느껴졌어.  아마 내가 뭔가 잘못했을 거야.
",GEMINI,2,2,2,2,2,3
흑백 사고,"[여자/15]
---
시험 점수가 망했어.  전부 다 망친 거야.  다시는 잘 할 수 없을 거 같아.  앞으로 내 인생은 끝장이야.  살아갈 가치가 없어.  죽고 싶어.
",GEMINI,2,3,2,2,3,2
과잉 일반화,"[여자/18]
---
친구 수진이랑 싸웠어.  내가 실수한 건 맞지만,  다른 친구들도 다 나랑 똑같이 싸울 거 같아.  수진이랑 멀어지면 다른 친구들도 다 떠날 것 같고,  나 혼자 남을 것 같아 무서워.  모두 나를 싫어하는 걸까?  아무도 날 좋아하지 않아.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[여자/15]
---
점심시간, 또 혼자 밥 먹었다.  저번에도 그랬고, 그 전에도 그랬다.  아무도 나랑 밥 안 먹는다.  내가 뭘 잘못했을까?  모두 나를 싫어하는 것 같다.  다 똑같아.  나랑 어울릴 사람은 아무도 없어.  내가 문제인걸까.
",GEMINI,2,3,2,2,3,3
흑백 사고,"[여자/17세]
---
수학 선생님께 숙제 안 했다고 혼났다.  변명을 했더니 더 화내셨다.  내 잘못이라는 걸 아는데,  그냥 미안하다고만 하면 될 것을 왜 굳이 설명해야 했을까.  다 내 잘못이야.  어차피 난 아무것도 잘하는 게 없어.
",GEMINI,3,2,3,2,3,3
과잉 일반화,"[여자/16]
---
특성화고에 입학했지만, 모두가 놀기만 한다는 선입견 때문에 힘들다.  내가 다니는 곳도 마찬가지일 거라는 생각에 미리 좌절하고 있다.  어차피 적응 못 할 거 같고,  친구도 못 사귈 것 같아.  일반고로 전학 가는 게 답인가?
",GEMINI,3,3,2,2,3,3
확대와 축소,"[여자/15세]
---
하교 후, 좋아하는 선배 우연히 만났어.  친구들이랑 웃고 떠들다가, 선배 눈치를 보니 내가 싫어하는 것 같았어.  내가 웃는 모습이 보기 싫었던 걸까?  아마 친구들이랑 어울리는 내 모습이 싫었던 거겠지.  다신 선배 앞에 나타나지 말아야겠어.
",GEMINI,2,2,3,2,3,3
성급한 판단,"[여자/17]
---
수학 선생님께서 나만 쏘아보시는 것 같아.  시험 망친 후로 계속 그런 것 같아.  내가 뭘 잘못했는지 모르겠어.  다른 애들은 웃으면서 얘기하는데, 나만 혼자 불안해. 아마 내가 싫어하는 눈빛인 걸 거야.  다른 애들도 그렇게 느낄까?
",GEMINI,2,2,3,3,3,3
감정적 추론,"[여자/15세]
---
학원을 또 빠졌다. 선생님께 혼날까 봐 무서워.  내일도 모레도 가기 싫을 것 같아.  발목도 아프고,  다른 애들은 잘 하는데 나만 못하는 것 같아.  결국 포기해야 할까?  힘들어.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/18]
---
고3인 내가 원하는 게 뭘까.  미술대학 진학을 포기해야 할까?  실력이 부족한 건 분명하고, 친구들은 이미 목표 대학을 정했어.  내 그림은 엉망이고,  결국 실패할 거야.  합격할 리 없어.  두려워.  모든 게 다 망칠 것 같아.
",GEMINI,2,3,2,3,3,3
확대와 축소,"[여자/18세]
---
지구과학 시험 망쳤어. 5등급이었는데, 다음 시험은 6등급일 거야.  모든 게 엉망이 될 거 같아.  수시는 틀렸어.  정시도 안 될 거야.  내 인생은 끝장이야.
",GEMINI,3,3,2,2,3,2
긍정 축소화,"[여자/15세]
---
친구가 칭찬했지만, 사진 속 내 모습은 여전히 못생겨 보여.  엄마도 예쁘다고 했지만, 진심인가 싶어.  화장을 해도, 옷을 예쁘게 입어도, 왠지 늘 부족해 보여.  내가 예쁜 적이 있었나 싶어.  결국, 나는 예쁘지 않아.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[남자/15세]
---
또 팀 게임에서 졌다. 내가 못해서 팀 전체가 망했다는 말이 머릿속을 맴돈다.  다들 나만 탓하는 것 같아.  아무리 노력해도 소용없나 봐.  게임을 그만둬야 하나?  다시는 게임을 하고 싶지 않아.  내가 뭘 해도 망칠 것 같다.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/16세]
---
태블릿을 훔쳐본 애가 누군지 몰라 혼란스러워.  내가 너무 의심 많았나?  아니야, 분명 누군가 봤을 거야.  전에도 비슷한 일이 있었으니…  그 애가 아니면 누가 그랬을까?  내가 잘못 생각하는 걸까?  확신이 없어.
",GEMINI,2,3,3,3,3,3
개인화,"[남자/14세]
---
점심시간, 민준이 옆자리에 앉은 승현이가 내 도시락을 흘겨봤다.  내가 뭘 잘못했나?  내가 싫어서 멀리 앉은 건가? 분명 내 탓일 거야.  다른 애들도 나랑 안 놀고 싶어하는 거겠지.  혼자 먹는 점심시간이 또 이렇게 쓸쓸하다.
",GEMINI,2,3,3,2,3,3
과잉 일반화,"[여자/17]
---
시험 망쳤어. 역시 난 공부에는 소질이 없어.  항상 이 모양이야.  다음 시험도 망칠 거 같아.  아무리 노력해도 안돼.  결국엔 실패할 거야.  내 인생은 망했어.
",GEMINI,2,3,2,2,3,3
감정적 추론,"[여자/15세]
---
방에 틀어박힌 채 폰만 보고 있어. 아무것도 하고 싶지 않아.  엄마 아빠는 내가 이렇게 힘들어하는 걸 알까?  내가 없어지는 게 모두를 위한 일일까?  그냥... 다 끝났으면 좋겠어.  숨 쉬는 것조차 힘들어.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[여자/16세]
---
어제 친구 수진이에게 톡 보냈는데, 읽씹 당했어.  새로운 스토리도 올라왔던데… 아마 내가 싫어졌나 봐.  평소랑 다르게 장난스럽게 톡 보냈는데, 너무 급했나?  내가 먼저 연락한 게 실수였어.  아무래도 나랑 더 이상 친구 하고 싶지 않은 거 같아.
",GEMINI,2,2,3,2,3,3
감정적 추론,"[여자/17세]
---
나이스 프로필 사진을 봤어.  턱살 때문에 엄청 뚱뚱해 보여.  졸업사진에도 저 모습이라니…  망했어.  다시 찍어도 선생님이 허락할까?  내 얼굴이 문제인 건가?  다른 애들은 다 예쁘게 나왔는데…  아무도 날 이해 못할 거야.
",GEMINI,2,3,2,3,3,3
부정적 편향,"[남자/18세]
---
수업 중 쌤이 내 발표 칭찬했지만, 진짜 잘했다는 건 아닐 거야.  다른 애들 발표가 더 별로였던 거겠지.  내 발표 내용도 부족했고, 목소리도 떨렸어.  결국 칭찬은 빈말일 거야.  다시는 발표 안 해.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[여자/14]
---
친구들이 나랑 얘기 안 해.  점심시간에 혼자 밥 먹는데, 저쪽 테이블 애들은 깔깔거리며 웃어.  나만 빼고 다 친한가 봐.  다들 나를 싫어하는 것 같아.  아무도 나랑 같이 있고 싶어 하지 않아.  내가 문제인 걸까.  항상 혼자야.
",GEMINI,2,3,2,2,3,3
개인화,"[여자/15]
---
소희가 나랑 싸우고 말도 안 해. 내가 잘못한 건 아닌데, 내 탓인가 싶어.  소희가 먼저 화낸 건데…  다 내 잘못인 것 같아.  소희 없이 학교 가는 게 너무 무서워.  내가 부족해서 소희가 떠난 거 같아.  다시는 친구 못 사귈 것 같아.
",GEMINI,2,2,2,2,3,3
확대와 축소,"[여자/17세]
---
시험 점수가 80점이었는데, 망했다고 생각했어.  내 친구는 90점 넘었대.  내가 더 노력했어야 했나봐.  모두가 나보다 잘하는 것 같고,  나만 뒤처지는 것 같아.  앞으로도 잘 할 수 있을까?  80점은 그냥 낙제점수처럼 느껴져.
",GEMINI,2,2,3,2,3,3
과잉 일반화,"[여자/17세]
---
어제도 복도에서 마주쳤는데, 또 날 무시했어.  인사도 안 하고.  저번에도 그랬고, 그 전에도…  내가 뭘 잘못했나?  다들 나 싫어하는 걸까?  아무도 나랑 안 놀아주는 거 같아.  정말 힘들어.
",GEMINI,3,3,3,3,3,3
흑백 사고,"[여자/15]
---
또 혼자 남겨졌어. 친구들이 내 얘기 하면서 웃는 게 보였어.  내가 뭘 잘못했는지도 모르겠어.  아무도 날 좋아하지 않아.  다 쓸모없어.  그냥 사라지고 싶어.  어차피 괜찮아질 리 없어.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[여자/16세]
---
친구들이 나랑 같이 점심 먹자는 말에 딴청을 피우더니, 둘이서만 먼저 가버렸어.  다른 애들도 나 빼고 몰래 짝꿍 정하는 것 같아.  아무도 날 챙겨주지 않아.  항상 나만 빼고 웃고 떠드는 것 같아.  내가 그들과는 다른가 봐.  혼자인 것 같아. 너무 외로워.
",GEMINI,2,3,3,2,3,3
부정적 편향,"[여자/14]
---
방과 후, 그림을 그리다 펜을 던졌다.  힘들다.  친구들과 웃고 떠들어도 허전해.  열심히 그림을 그려도, 좋은 대학에 가도,  이 기분은 계속될 것 같아.  내가 뭘 해도 행복해지지 않을 것 같아.  무엇이 나를 행복하게 할까?  답을 모르겠어.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[남자/17세]
---
수업 후, 그녀가 나에게만 먼저 말을 걸지 않는다고 느꼈다.  다른 친구들과는 웃으며 이야기하는데… 내가 부족한 걸까?  혹시 나를 싫어하는 건 아닐까?  그녀가 내 쪽으로 오지 않으니,  마음이 무너져 내렸다.  내가 잘못한 건 없는데 말이야.
",GEMINI,3,3,3,3,3,3
부정적 편향,"[여자/16세]
---
내가 제일 좋아하는 팔찌, 엄마 생신 선물로 드릴려고 아껴뒀는데, 실수로 잃어버렸다.  다시 살 수는 있지만, 똑같은 건 없고, 엄마가 실망하실까 봐 두렵다.  내가 뭘 해도 늘 잘못되는 것 같아.  결국 엄마는 슬퍼하실 거고, 나는 최악의 딸이 될 거야.
",GEMINI,2,3,3,2,3,2
성급한 판단,"[여자/16세]
---
같은 반 수현이가 나랑 눈도 안 마주쳐. 아마 내가 싫은 거겠지.  점심시간에 혼자 먹었어. 아무도 나랑 밥 안 먹어.  친구가 없어서 외로운 거야.  수현이랑 친해지고 싶은데, 어려울 것 같아.  포기하는 게 나을까?  나 혼자만 이렇게 힘든 걸까?
",GEMINI,2,3,3,3,3,3
감정적 추론,"[여자/14]
---
점심시간, 친구들이 수다 떠는 모습을 보니 괜히 혼자 남겨진 기분이야.  아무도 나랑 얘기 안 해.  내가 뭘 잘못한 걸까?  웃는 얼굴로 다가가도,  다들 나를 무시하는 것 같아.  내가 부족해서 그런 거겠지.  다시는 혼자 점심 먹지 않겠다고 다짐했지만, 또 혼자가 될까봐 두려워.
",GEMINI,2,2,3,2,3,3
흑백 사고,"[여자/13]
---
엄마는 시험 결과에 따라 용돈을 주겠다고 했어. 100점이면 5만원, 90점 미만이면 0원.  95점 맞았는데, 5만원을 못 받으면 엄마가 날 싫어하는 걸까?  용돈도 못 받고,  외국어고도 못 가고, 친구도 없을 거야.  결국, 난 아무것도 가질 수 없어.
",GEMINI,2,3,3,2,3,3
